,Interest,Skill_Level,Work_Style,Education,Personality,Problem_Solving,Tech,Communication,Leadership,Creativity,Career
0,Art,Expert,Flexible,Masters,Thinker,Creative,Very High,Excellent,Strong,Medium,Data Scientist
1,Technology,,Flexible,PhD,Thinker,Logical,,Poor,Moderate,Very High,IoT Specialist
2,Art,Intermediate,Team,PhD,Extrovert,Intuitive,,Excellent,Collaborative,Low,Product Manager
3,Business,Expert,Remote,Diploma,Extrovert,Intuitive,High,Fluent,,High,AI Researcher
4,Technology,Expert,Solo,Bachelors,Thinker,Creative,Very High,Excellent,Visionary,Medium,Data Analyst
5,Technology,Beginner,Solo,Bachelors,Doer,Intuitive,High,Average,Collaborative,Exceptional,Data Scientist
6,Business,Beginner,Remote,Diploma,Extrovert,Creative,Very High,Fluent,Visionary,Exceptional,DevOps Engineer
7,Technology,Beginner,Flexible,Masters,Extrovert,Logical,Low,Poor,Collaborative,Low,Computer Vision Engineer
8,Art,Intermediate,Remote,Diploma,Doer,Practical,Very High,Outstanding,Collaborative,Low,Site Reliability Engineer
9,Medicine,Advanced,Flexible,Diploma,Leader,Logical,Very High,Poor,Moderate,Low,Technical Writer
10,Art,Expert,Office,PhD,Thinker,Practical,Low,Excellent,Strong,Low,DevOps Engineer
11,Medicine,Beginner,Remote,High School,Thinker,Intuitive,High,Fluent,Visionary,Medium,Data Engineer
12,Science,,Office,PhD,Introvert,Practical,High,Excellent,Collaborative,High,Full Stack Developer
13,Medicine,,Team,Bachelors,Leader,Practical,Medium,Outstanding,Collaborative,Very High,Solutions Architect
14,Technology,Expert,Solo,High School,Introvert,Intuitive,,Fluent,,Medium,Game Developer
15,Science,,Solo,High School,Leader,Analytical,Medium,Outstanding,,High,Database Administrator
16,Science,Intermediate,Team,Masters,Extrovert,Logical,Low,Excellent,Visionary,Low,Augmented Reality Developer
17,Science,Beginner,Solo,Bachelors,Doer,Intuitive,High,Poor,Moderate,Exceptional,NLP Engineer
18,Science,Intermediate,Team,Diploma,Extrovert,Practical,,Poor,Collaborative,Low,Speech Recognition Specialist
19,Medicine,Expert,Team,PhD,Leader,Analytical,,Outstanding,Visionary,Low,ML Engineer
20,Art,,Remote,High School,Thinker,Intuitive,Very High,Fluent,Strong,Medium,Augmented Reality Developer
21,Medicine,Expert,Remote,High School,Doer,Creative,High,Poor,Strong,High,Network Engineer
22,Art,Intermediate,Flexible,High School,Thinker,Logical,Low,Outstanding,Visionary,Low,Business Analyst
23,Business,Expert,Solo,Bachelors,Thinker,Analytical,Low,Fluent,Moderate,Low,Game Developer
24,Medicine,Beginner,Solo,Masters,Extrovert,Creative,Medium,Poor,Visionary,Low,Full Stack Developer
25,Medicine,,Remote,Bachelors,Leader,Intuitive,High,Average,,Medium,Financial Analyst
26,Art,Beginner,Flexible,High School,Extrovert,Practical,High,Outstanding,,Exceptional,Web Developer
27,Technology,Beginner,Remote,Masters,Doer,Analytical,Low,Excellent,Collaborative,Medium,Database Administrator
28,Art,,Office,High School,Leader,Logical,Medium,Excellent,,Medium,Product Manager
