Interest,Skill_Level,Work_Style,Education,Personality,Problem_Solving,Tech,Communication,Leadership,Creativity,Career
Art,Expert,Flexible,Masters,Thinker,Creative,Very High,Excellent,Strong,Medium,Software Engineer
Technology,None,Flexible,PhD,Thinker,Logical,None,Poor,Moderate,Very High,Marketing Manager
Art,Intermediate,Team,PhD,Extrovert,Intuitive,None,Excellent,Collaborative,Low,Data Scientist
Business,Expert,Remote,Diploma,Extrovert,Intuitive,High,Fluent,None,High,Data Scientist
Technology,Expert,Solo,Bachelors,Thinker,Creative,Very High,Excellent,Visionary,Medium,Data Scientist
Technology,Beginner,Solo,Bachelors,Doer,Intuitive,High,Average,Collaborative,Exceptional,Graphic Designer
Business,Beginner,Remote,Diploma,Extrovert,Creative,Very High,Fluent,Visionary,Exceptional,Graphic Designer
Technology,Beginner,Flexible,Masters,Extrovert,Logical,Low,Poor,Collaborative,Low,Marketing Manager
Art,Intermediate,Remote,Diploma,Doer,Practical,Very High,Outstanding,Collaborative,Low,Doctor
Medicine,Advanced,Flexible,Diploma,Leader,Logical,Very High,Poor,Moderate,Low,Data Scientist
Art,Expert,Office,PhD,Thinker,Practical,Low,Excellent,Strong,Low,Software Engineer
Medicine,Beginner,Remote,High School,Thinker,Intuitive,High,Fluent,Visionary,Medium,Marketing Manager
Science,None,Office,PhD,Introvert,Practical,High,Excellent,Collaborative,High,Graphic Designer
Medicine,None,Team,Bachelors,Leader,Practical,Medium,Outstanding,Collaborative,Very High,Marketing Manager
Technology,Expert,Solo,High School,Introvert,Intuitive,None,Fluent,None,Medium,Data Scientist
Science,None,Solo,High School,Leader,Analytical,Medium,Outstanding,None,High,Data Scientist
Science,Intermediate,Team,Masters,Extrovert,Logical,Low,Excellent,Visionary,Low,Data Scientist
Science,Beginner,Solo,Bachelors,Doer,Intuitive,High,Poor,Moderate,Exceptional,Graphic Designer
Science,Intermediate,Team,Diploma,Extrovert,Practical,None,Poor,Collaborative,Low,Data Scientist
Medicine,Expert,Team,PhD,Leader,Analytical,None,Outstanding,Visionary,Low,Doctor
Art,None,Remote,High School,Thinker,Intuitive,Very High,Fluent,Strong,Medium,Graphic Designer
Medicine,Expert,Remote,High School,Doer,Creative,High,Poor,Strong,High,Data Scientist
Art,Intermediate,Flexible,High School,Thinker,Logical,Low,Outstanding,Visionary,Low,Software Engineer
Business,Expert,Solo,Bachelors,Thinker,Analytical,Low,Fluent,Moderate,Low,Marketing Manager
Medicine,Beginner,Solo,Masters,Extrovert,Creative,Medium,Poor,Visionary,Low,Doctor
Medicine,None,Remote,Bachelors,Leader,Intuitive,High,Average,None,Medium,Doctor
Art,Beginner,Flexible,High School,Extrovert,Practical,High,Outstanding,None,Exceptional,Doctor
Technology,Beginner,Remote,Masters,Doer,Analytical,Low,Excellent,Collaborative,Medium,Software Engineer
Art,None,Office,High School,Leader,Logical,Medium,Excellent,None,Medium,Data Scientist
Art,None,Solo,Diploma,Leader,Creative,High,Poor,Visionary,Low,Marketing Manager
